YEAR,Team,DATE,LOCATION,OPPONENT,RESULT,TEAMSCORE,OPPSCORE,RECORD,WAB,ADJO,ADJD,OPPP,OEFG%,OTO%,OOR%,OFTR,DPPP,DEFG%,DTO%,DOR%,DFTR
2022,Arizona,Sat 11-27,H,Sacramento St.,W,105,59,6-0,1.1,117.1,83.9,130,60.7,16.1,38.2,37.1,73,41.8,21,10.3,18
2022,Arizona,Sun 12-05,A,Oregon St.,W,90,65,7-0,1.3,111,88.4,121.6,53.6,16.2,46.2,34.3,87.8,48.3,29.7,41.7,23.7
2022,Arizona,Wed 12-08,H,Wyoming,W,94,65,8-0,1.6,135.9,83.6,128.8,60.4,13.7,38.2,11.1,89.1,46.6,19.2,17.1,25.9
2022,Arizona,Sat 12-11,A,Illinois,W,83,79,9-0,2.3,121.4,96.4,110.5,50.7,18.6,39,25.7,105.2,51.5,21.3,38.6,20.6
2022,Arizona,Wed 12-15,H,Northern Colorado,W,101,76,10-0,2.4,112.2,98.8,128.6,58.9,14,38.2,26,96.8,56.8,16.5,8.8,28.8
2022,Arizona,Sat 12-18,H,Cal Baptist,W,84,60,11-0,2.5,106.6,91.6,113.5,57.7,17.6,36.4,20,81.1,38.9,17.6,27.3,8.3
2022,Arizona,Wed 12-22,A,Tennessee,L,73,77,11-1,2.3,111.4,96.1,97.1,52.6,22.6,29.4,31,102.4,44,17.3,36.4,40.3
2022,Arizona,Mon 1-03,H,Washington,W,95,79,12-1,2.5,126,102.3,123.3,65,27.2,38.7,35,102.5,46,7.8,26.7,17.3
2022,Arizona,Thu 1-13,H,Colorado,W,76,55,13-1,2.8,103.7,73.6,100.8,57,21.2,21.9,33.3,73,35.9,18.6,17.8,18.8
2022,Arizona,Sat 1-15,H,Utah,W,82,64,14-1,2.9,105.4,90.4,112.1,53.1,21.9,39.4,24.6,87.5,46.4,27.3,33.3,21.4
2022,Arizona,Thu 1-20,A,Stanford,W,85,57,15-1,3.3,118.8,78,115.6,60.7,19,22.2,37.5,77.5,35,23.1,38.9,21.4
2022,Arizona,Sun 1-23,A,California,W,96,71,16-1,3.7,144.4,100.2,134.9,57,11.2,37.1,43.8,99.8,40.1,7,31.3,26.8
2022,Arizona,Tue 1-25,A,UCLA,L,59,75,16-2,3.5,93.2,90.4,82.2,35.3,19.5,41.2,14.7,104.5,56.3,11.1,12.5,7.8
2022,Arizona,Sat 1-29,H,Arizona St.,W,67,56,17-2,3.7,101.2,86.9,96.2,34.7,17.2,39.5,54.2,80.4,39.3,24.4,34.1,24.6
2022,Arizona,Thu 2-03,H,UCLA,W,76,66,18-2,4.3,115.8,80.7,104.9,56,20.7,25,60,91.1,41,11,25,16.7
2022,Arizona,Sat 2-05,H,USC,W,72,63,19-2,4.7,114.6,96.2,112,50.9,17.1,43.8,43.6,98,39.3,12.4,40.4,18.6
2022,Arizona,Mon 2-07,A,Arizona St.,W,91,79,20-2,5.2,129.1,102.1,115.8,62.5,25.4,43.3,38.3,100.5,51.4,16.5,20.5,12.7
2022,Arizona,Thu 2-10,A,Washington St.,W,72,60,21-2,5.8,113.9,77.6,100.9,56.1,25.2,33.3,19.3,84.1,39.7,12.6,23.4,4.1
2022,Arizona,Sat 2-12,A,Washington,W,92,68,22-2,6.3,131.1,100.4,131.2,63.5,12.8,37.5,31.7,97,38.1,17.1,38.5,52.5
2022,Arizona,Thu 2-17,H,Oregon St.,W,83,69,23-2,6.3,112.9,102.3,123.6,55.7,13.4,38.7,31.1,102.8,44.9,10.4,30.2,13
2022,Arizona,Sat 2-19,H,Oregon,W,84,81,24-2,6.6,115.9,106.2,114.9,62.9,17.8,22.6,32.8,110.8,52.2,15,29.7,16.2
2022,Arizona,Thu 2-24,A,Utah,W,97,77,25-2,7,117.3,86.5,115.4,60.6,19,25.7,18.3,91.6,47,17.8,17.8,31.3
2022,Arizona,Sat 2-26,A,Colorado,L,63,79,25-3,6.5,104.2,104.9,91.6,44.1,23.3,29.4,43.1,114.8,51.6,14.5,32.4,23.4
2022,Arizona,Tue 3-01,A,USC,W,91,71,26-3,7.1,146.7,93.7,133.1,65.1,10.2,27.6,20.6,103.8,42.6,17.5,45.2,23.5
2022,Arizona,Thu 3-03,H,Stanford,W,81,69,27-3,7.3,111.5,100.9,113.2,55.7,14,14.3,50.9,96.4,54.9,23.8,31.4,14.8
2022,Arizona,Sat 3-05,H,California,W,89,61,28-3,7.4,135.5,98.6,133.8,68.8,12,25,64.6,91.7,41.3,13.5,18.9,53.8
2022,Arizona,Thu 3-10,N,Stanford,W,84,80,29-3,7.7,128.1,118.3,124.6,54.6,14.8,41,29.2,118.7,63.6,17.8,27.6,13.6
2022,Arizona,Fri 3-11,N,Colorado,W,82,72,30-3,8,116.4,97.4,111.8,58,24.6,24,50,98.2,51.6,19.1,21.1,16.1
2022,Arizona,Sat 3-12,N,UCLA,W,84,76,31-3,8.8,131.1,99.8,121.4,58.7,18.8,35.7,53.8,109.8,45.7,10.1,32.6,24.6
2022,Arizona,Fri 3-18,N,Wright St. (16),W,87,70,32-3,8.9,111.5,89,114.7,64.2,25,35.7,20,92.3,41.3,7.9,16.3,27.5
2022,Arizona,Sun 3-20,N,TCU (9),W,85,80,33-3,9.5,113.4,93.2,103.6,49.3,19.5,33.3,36.8,97.5,39.2,17.1,40,40.5
2022,Arizona,Thu 3-24,N,Houston (5),L,60,72,33-4,9.3,111.9,100.7,96.2,39.8,22.4,39,42.6,115.4,55,19.2,38.7,50
2018,Arizona St.,Fri 11-10,H,Idaho St.,W,94,74,1-0,0.1,117.7,99.4,123.8,59.2,14.5,36.4,40,97.5,51.7,18.4,21.6,37.3
2018,Arizona St.,Tue 11-14,H,San Diego St.,W,90,68,2-0,0.4,120,90.3,116.5,57.4,15.5,23.5,41,88,43.9,19.4,22.7,21.2
2018,Arizona St.,Fri 11-17,H,Northern Arizona,W,97,62,3-0,0.4,114,91.6,122.2,61.1,13.9,22.9,44.4,78.1,37.5,30.2,35.7,36.7
2018,Arizona St.,Sun 11-19,H,UC Irvine,W,99,78,4-0,0.5,146,115.4,137.8,75.5,13.9,24,77.6,108.6,55.7,26.5,40.5,26.2
2018,Arizona St.,Thu 11-23,N,Kansas St.,W,92,90,5-0,1.1,149.3,127,135.1,63,17.6,48.4,88,132.2,70.3,23.5,44,15.3
2018,Arizona St.,Fri 11-24,N,Xavier,W,102,86,6-0,1.8,143.9,106.7,139.9,66.9,13.7,25.9,42.4,118,63,17.8,21.4,42.6
2018,Arizona St.,Sat 12-02,H,San Francisco,W,75,57,7-0,1.9,113.6,84.4,108.9,50,20.3,39.4,72,82.8,37.3,20.3,29.8,22.2
